Date,Open,High,Low,Close,Volume,Adj Close
2015-04-06,31.80,31.80,31.80,31.80,000,28.2711
2015-04-03,31.80,31.80,31.80,31.80,000,28.2711
2015-04-02,31.90,32.99,31.71,31.80,123400,28.2711
2015-04-01,31.35,32.00,31.35,31.90,36600,28.36
2015-03-31,32.50,33.00,31.33,31.92,34600,28.3778
2015-03-30,32.00,32.90,31.30,31.46,102100,27.9688
2015-03-27,31.30,31.48,31.30,31.42,68000,27.9333
2015-03-26,31.56,31.56,31.35,31.40,70700,27.9155
2015-03-25,31.95,32.00,31.40,31.40,218000,27.9155
2015-03-24,32.75,32.75,31.50,31.50,235000,28.0044
2015-03-23,31.35,32.89,31.35,32.00,11200,28.4489
2015-03-20,31.76,32.43,31.30,31.45,42000,27.96
2015-03-19,31.62,32.05,31.38,31.80,84100,28.2711
2015-03-18,31.30,32.60,31.30,31.75,198100,28.2267
2015-03-17,32.50,32.65,31.30,31.69,78500,28.1733
2015-03-16,32.64,32.64,32.10,32.31,20600,28.7245
2015-03-13,32.04,32.60,32.00,32.00,3400,28.4489
2015-03-12,32.46,32.60,31.30,31.96,27600,28.4134
2015-03-11,31.52,31.52,31.30,31.30,27800,27.8266
2015-03-10,31.75,31.80,31.30,31.50,81100,28.0044
2015-03-09,32.00,32.31,31.75,31.75,39100,28.2267
